"id","channel_group_id","sc_chid","name","created_at","updated_at","vod","aasm_state","sort_number","deleted_at","name_alter","unpublished_at"
276,17,,"TUFテレビユー福島","2020-03-26 17:24:54.583291+00","2020-03-26 17:24:54.583291+00",FALSE,"published",0,,"",
277,18,,"UTYテレビ山梨","2020-03-26 17:25:54.110805+00","2020-03-26 17:25:54.110805+00",FALSE,"published",0,,"",
278,18,,"SBC信越放送","2020-03-26 17:26:29.408686+00","2020-03-26 17:26:29.408686+00",FALSE,"published",0,,"",
113,10,113,"SBS静岡放送","2014-07-06 13:46:42+00","2020-03-26 17:27:15.160341+00",FALSE,"published",0,,"",
279,11,,"BSS山陰放送","2020-03-26 17:29:32.338138+00","2020-03-26 17:29:32.338138+00",FALSE,"published",0,,"",
280,19,,"KUTVテレビ高知","2020-03-26 17:34:26.366321+00","2020-03-26 17:34:26.366321+00",FALSE,"published",0,,"",
281,16,,"OBS大分放送","2020-03-26 17:35:32.001466+00","2020-03-26 17:35:32.001466+00",FALSE,"published",0,,"",
282,16,,"MRT宮崎放送","2020-03-26 17:36:03.746457+00","2020-03-26 17:36:03.746457+00",FALSE,"published",0,,"",
260,20,999,"ABEMAビデオ","2019-03-16 17:00:00+00","2020-05-30 01:02:01.882707+00",TRUE,"published",0,,"",
257,20,247,"ABEMA アニメLIVE2","2018-12-30 20:00:59.006231+00","2020-05-30 01:02:08.613561+00",FALSE,"published",0,,"",
251,20,241,"ABEMA みんなのアニメ","2018-03-18 20:00:30.343925+00","2020-05-30 01:02:12.560615+00",FALSE,"published",0,,"",
249,20,239,"ABEMA アニメ","2018-03-18 20:00:30.309768+00","2020-05-30 01:02:16.708582+00",FALSE,"published",0,,"",
261,20,,"ABEMA みんなのアニメ2","2019-03-16 18:54:25.362283+00","2020-05-30 01:02:20.473053+00",FALSE,"published",0,,"",
259,20,249,"ABEMA アニメ3","2019-03-09 20:00:41.637256+00","2020-05-30 01:02:24.946129+00",FALSE,"published",0,,"",
250,20,240,"ABEMA アニメLIVE","2018-03-18 20:00:30.329441+00","2020-05-30 01:02:28.724009+00",FALSE,"published",0,,"",
254,20,244,"ABEMA アニメ2","2018-06-01 20:00:44.449879+00","2020-05-30 01:02:32.523293+00",FALSE,"published",0,,"",
